gpa,academic_grade,test_takers,test_taker_pct,mean_total,mean_erw,mean_math,met_both_benchmarks,met_erw_benchmarks,met_math_benchmarks
No Response,8,375486,0.54,803,404,400,0.32,0.52,0.35
D-F,8,6365,0.01,668,335,333,0.04,0.16,0.06
C,8,37963,0.06,706,353,352,0.08,0.25,0.11
B,8,117482,0.17,785,393,392,0.25,0.5,0.3
A-,8,55907,0.08,857,430,427,0.47,0.7,0.52
A,8,71890,0.1,915,461,454,0.61,0.79,0.64
A+,8,24990,0.04,960,484,476,0.68,0.81,0.71
No Response,9,368698,0.35,854,430,424,0.37,0.55,0.4
D-F,9,16423,0.02,705,357,348,0.05,0.19,0.08
C,9,90022,0.09,751,378,373,0.11,0.3,0.14
B,9,257560,0.25,843,423,420,0.32,0.56,0.37
A-,9,122476,0.12,929,468,461,0.56,0.75,0.6
A,9,142750,0.14,987,498,489,0.68,0.82,0.7
A+,9,42195,0.04,1018,514,504,0.72,0.81,0.74
No Response,10,372190,0.16,870,437,433,0.28,0.49,0.3
D-F,10,35427,0.02,744,372,372,0.04,0.17,0.05
C,10,238492,0.1,786,393,393,0.08,0.28,0.09
B,10,717409,0.31,885,446,438,0.27,0.57,0.3
A-,10,362233,0.16,986,499,487,0.54,0.79,0.56
A,10,418175,0.18,1057,536,522,0.69,0.86,0.7
A+,10,134579,0.06,1122,567,554,0.79,0.89,0.8
No Response,11,81326,0.05,875,440,434,0.2,0.4,0.22
D-F,11,15841,0.01,771,387,384,0.04,0.17,0.05
C,11,171820,0.1,828,416,411,0.08,0.3,0.09
B,11,631794,0.36,946,479,467,0.27,0.6,0.29
A-,11,332835,0.19,1060,537,524,0.54,0.82,0.56
A,11,372063,0.21,1135,573,561,0.69,0.88,0.7
A+,11,141392,0.08,1211,610,600,0.82,0.93,0.83
